Inicio de programa
T: [9:00] --> Temperatura: 20.60ºC | Humedad relativa: 89.00% | Humedad absoluta: 15.93 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:15] --> Temperatura: 20.60ºC | Humedad relativa: 89.00% | Humedad absoluta: 15.93 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [9:30] --> Temperatura: 20.70ºC | Humedad relativa: 88.00% | Humedad absoluta: 15.84 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:45] --> Temperatura: 20.80ºC | Humedad relativa: 88.00% | Humedad absoluta: 15.93 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [10:00] --> Temperatura: 20.90ºC | Humedad relativa: 87.00% | Humedad absoluta: 15.84 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:15] --> Temperatura: 21.00ºC | Humedad relativa: 86.00% | Humedad absoluta: 15.75 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:30] --> Temperatura: 21.00ºC | Humedad relativa: 86.00% | Humedad absoluta: 15.75 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [10:45] --> Temperatura: 21.10ºC | Humedad relativa: 85.00% | Humedad absoluta: 15.66 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:00] --> Temperatura: 21.20ºC | Humedad relativa: 84.00% | Humedad absoluta: 15.57 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:15] --> Temperatura: 21.30ºC | Humedad relativa: 84.00% | Humedad absoluta: 15.66 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [11:30] --> Temperatura: 21.30ºC | Humedad relativa: 84.00% | Humedad absoluta: 15.66 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [11:45] --> Temperatura: 21.40ºC | Humedad relativa: 83.00% | Humedad absoluta: 15.56 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:00] --> Temperatura: 21.40ºC | Humedad relativa: 83.00% | Humedad absoluta: 15.56 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [12:15] --> Temperatura: 21.40ºC | Humedad relativa: 82.00% | Humedad absoluta: 15.37 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:30] --> Temperatura: 21.40ºC | Humedad relativa: 82.00% | Humedad absoluta: 15.37 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [12:45] --> Temperatura: 21.50ºC | Humedad relativa: 82.00% | Humedad absoluta: 15.46 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:00] --> Temperatura: 21.50ºC | Humedad relativa: 81.00% | Humedad absoluta: 15.27 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:15] --> Temperatura: 21.50ºC | Humedad relativa: 81.00% | Humedad absoluta: 15.27 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [13:30] --> Temperatura: 21.60ºC | Humedad relativa: 81.00% | Humedad absoluta: 15.36 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:45] --> Temperatura: 21.60ºC | Humedad relativa: 80.00% | Humedad absoluta: 15.17 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:00] --> Temperatura: 21.70ºC | Humedad relativa: 80.00% | Humedad absoluta: 15.26 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:15] --> Temperatura: 21.70ºC | Humedad relativa: 80.00% | Humedad absoluta: 15.26 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [14:30] --> Temperatura: 21.80ºC | Humedad relativa: 80.00% | Humedad absoluta: 15.35 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [14:45] --> Temperatura: 21.80ºC | Humedad relativa: 80.00% | Humedad absoluta: 15.35 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Esperando...
T: [15:00] --> Temperatura: 21.80ºC | Humedad relativa: 80.00% | Humedad absoluta: 15.35 g/m3 | Lecturas iguales: 4 | Fallos acumulados: 0 | Esperando...
T: [15:15] --> Temperatura: 21.90ºC | Humedad relativa: 79.00% | Humedad absoluta: 15.24 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [15:30] --> Temperatura: 21.90ºC | Humedad relativa: 79.00% | Humedad absoluta: 15.24 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [15:45] --> Temperatura: 21.90ºC | Humedad relativa: 79.00% | Humedad absoluta: 15.24 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Evaluando...
T: [16:00] --> Temperatura: 21.90ºC | Humedad relativa: 79.00% | Humedad absoluta: 15.24 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Evaluando...
T: [16:15] --> Temperatura: 21.90ºC | Humedad relativa: 79.00% | Humedad absoluta: 15.24 g/m3 | Lecturas iguales: 4 | Fallos acumulados: 0 | Evaluando...
T: [16:30] --> Temperatura: 21.80ºC | Humedad relativa: 78.00% | Humedad absoluta: 14.96 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [16:45] --> Temperatura: 21.70ºC | Humedad relativa: 78.00% | Humedad absoluta: 14.88 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [17:00] --> Temperatura: 21.60ºC | Humedad relativa: 78.00% | Humedad absoluta: 14.79 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [17:15] --> Temperatura: 21.50ºC | Humedad relativa: 77.00% | Humedad absoluta: 14.52 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [17:30] --> Temperatura: 21.40ºC | Humedad relativa: 76.00% | Humedad absoluta: 14.25 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [17:45] --> Temperatura: 21.30ºC | Humedad relativa: 75.00% | Humedad absoluta: 13.98 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
