Inicio de programa
T: [9:00] --> Temperatura: 21.00ºC | Humedad relativa: 79.00% | Humedad absoluta: 14.47 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:15] --> Temperatura: 21.00ºC | Humedad relativa: 78.00% | Humedad absoluta: 14.29 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:30] --> Temperatura: 21.00ºC | Humedad relativa: 78.00% | Humedad absoluta: 14.29 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [9:45] --> Temperatura: 21.00ºC | Humedad relativa: 77.00% | Humedad absoluta: 14.10 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:00] --> Temperatura: 21.00ºC | Humedad relativa: 77.00% | Humedad absoluta: 14.10 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [10:15] --> Temperatura: 21.10ºC | Humedad relativa: 76.00% | Humedad absoluta: 14.00 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:30] --> Temperatura: 21.10ºC | Humedad relativa: 75.00% | Humedad absoluta: 13.82 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:45] --> Temperatura: 21.10ºC | Humedad relativa: 75.00% | Humedad absoluta: 13.82 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [11:00] --> Temperatura: 21.10ºC | Humedad relativa: 75.00% | Humedad absoluta: 13.82 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [11:15] --> Temperatura: 21.10ºC | Humedad relativa: 74.00% | Humedad absoluta: 13.63 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:30] --> Temperatura: 21.10ºC | Humedad relativa: 74.00% | Humedad absoluta: 13.63 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [11:45] --> Temperatura: 21.10ºC | Humedad relativa: 74.00% | Humedad absoluta: 13.63 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [12:00] --> Temperatura: 21.10ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.45 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:15] --> Temperatura: 21.10ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.45 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [12:30] --> Temperatura: 21.20ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.53 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:45] --> Temperatura: 21.30ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.61 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [13:00] --> Temperatura: 21.30ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.61 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [13:15] --> Temperatura: 21.30ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.61 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Esperando...
T: [13:30] --> Temperatura: 21.40ºC | Humedad relativa: 72.00% | Humedad absoluta: 13.50 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:45] --> Temperatura: 21.40ºC | Humedad relativa: 72.00% | Humedad absoluta: 13.50 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [14:00] --> Temperatura: 21.40ºC | Humedad relativa: 72.00% | Humedad absoluta: 13.50 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [14:15] --> Temperatura: 21.40ºC | Humedad relativa: 72.00% | Humedad absoluta: 13.50 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Esperando...
T: [14:30] --> Temperatura: 21.50ºC | Humedad relativa: 72.00% | Humedad absoluta: 13.58 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:45] --> Temperatura: 21.50ºC | Humedad relativa: 71.00% | Humedad absoluta: 13.39 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [15:00] --> Temperatura: 21.40ºC | Humedad relativa: 71.00% | Humedad absoluta: 13.31 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [15:15] --> Temperatura: 21.50ºC | Humedad relativa: 71.00% | Humedad absoluta: 13.39 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [15:30] --> Temperatura: 21.50ºC | Humedad relativa: 71.00% | Humedad absoluta: 13.39 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [15:45] --> Temperatura: 21.50ºC | Humedad relativa: 71.00% | Humedad absoluta: 13.39 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Evaluando...
T: [16:00] --> Temperatura: 21.50ºC | Humedad relativa: 71.00% | Humedad absoluta: 13.39 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Evaluando...
T: [16:15] --> Temperatura: 21.40ºC | Humedad relativa: 70.00% | Humedad absoluta: 13.12 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [16:30] --> Temperatura: 21.40ºC | Humedad relativa: 70.00% | Humedad absoluta: 13.12 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Evaluando...
T: [16:45] --> Temperatura: 21.30ºC | Humedad relativa: 69.00% | Humedad absoluta: 12.86 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [17:00] --> Temperatura: 21.30ºC | Humedad relativa: 67.00% | Humedad absoluta: 12.49 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
T: [17:15] --> Temperatura: 21.20ºC | Humedad relativa: 64.00% | Humedad absoluta: 11.86 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
Humedad por debajo del mínimo. Apagando...
Fin de programa. Que tenga un buen día :)
