Inicio de programa
T: [10:15] --> Temperatura: 23.10ºC | Humedad relativa: 83.80% | Humedad absoluta: 17.32 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:30] --> Temperatura: 22.90ºC | Humedad relativa: 84.00% | Humedad absoluta: 17.17 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:45] --> Temperatura: 22.90ºC | Humedad relativa: 86.50% | Humedad absoluta: 17.68 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:00] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [11:15] --> Temperatura: 22.80ºC | Humedad relativa: 92.40% | Humedad absoluta: 18.78 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:30] --> Temperatura: 22.80ºC | Humedad relativa: 92.60% | Humedad absoluta: 18.82 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:45] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [12:00] --> Temperatura: 22.80ºC | Humedad relativa: 90.80% | Humedad absoluta: 18.45 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:15] --> Temperatura: 22.70ºC | Humedad relativa: 90.10% | Humedad absoluta: 18.20 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:30] --> Temperatura: 22.60ºC | Humedad relativa: 89.40% | Humedad absoluta: 17.96 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:45] --> Temperatura: 22.50ºC | Humedad relativa: 88.80% | Humedad absoluta: 17.74 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:00] --> Temperatura: 22.50ºC | Humedad relativa: 88.80% | Humedad absoluta: 17.74 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [13:15] --> Temperatura: 22.40ºC | Humedad relativa: 89.50% | Humedad absoluta: 17.77 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:30] --> Temperatura: 22.40ºC | Humedad relativa: 90.60% | Humedad absoluta: 17.99 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:45] --> Temperatura: 22.30ºC | Humedad relativa: 91.30% | Humedad absoluta: 18.03 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:00] --> Temperatura: 22.30ºC | Humedad relativa: 92.40% | Humedad absoluta: 18.24 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:15] --> Temperatura: 22.30ºC | Humedad relativa: 93.60% | Humedad absoluta: 18.48 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:30] --> Temperatura: 22.20ºC | Humedad relativa: 94.60% | Humedad absoluta: 18.57 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:45] --> Temperatura: 22.30ºC | Humedad relativa: 95.40% | Humedad absoluta: 18.84 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [15:00] --> Temperatura: 22.30ºC | Humedad relativa: 96.50% | Humedad absoluta: 19.05 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [15:15] --> Temperatura: 22.30ºC | Humedad relativa: 94.60% | Humedad absoluta: 18.68 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Evaluando...
Nuevo aumento de humedad detectado. Reiniciando temporizador...
T: [0:14] --> Temperatura: 22.20ºC | Humedad relativa: 92.60% | Humedad absoluta: 18.18 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:29] --> Temperatura: 22.20ºC | Humedad relativa: 89.90% | Humedad absoluta: 17.65 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:44] --> Temperatura: 22.20ºC | Humedad relativa: 89.60% | Humedad absoluta: 17.59 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:59] --> Temperatura: 22.20ºC | Humedad relativa: 88.80% | Humedad absoluta: 17.43 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:14] --> Temperatura: 22.20ºC | Humedad relativa: 88.00% | Humedad absoluta: 17.28 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:29] --> Temperatura: 22.20ºC | Humedad relativa: 87.50% | Humedad absoluta: 17.18 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:44] --> Temperatura: 22.20ºC | Humedad relativa: 87.50% | Humedad absoluta: 17.18 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [1:59] --> Temperatura: 22.20ºC | Humedad relativa: 88.40% | Humedad absoluta: 17.35 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:14] --> Temperatura: 22.30ºC | Humedad relativa: 88.50% | Humedad absoluta: 17.47 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:29] --> Temperatura: 22.30ºC | Humedad relativa: 88.40% | Humedad absoluta: 17.46 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [2:44] --> Temperatura: 22.30ºC | Humedad relativa: 88.20% | Humedad absoluta: 17.42 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:59] --> Temperatura: 22.40ºC | Humedad relativa: 87.90% | Humedad absoluta: 17.46 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:14] --> Temperatura: 22.50ºC | Humedad relativa: 87.60% | Humedad absoluta: 17.50 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:29] --> Temperatura: 22.50ºC | Humedad relativa: 87.50% | Humedad absoluta: 17.48 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [3:44] --> Temperatura: 22.60ºC | Humedad relativa: 87.20% | Humedad absoluta: 17.52 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:59] --> Temperatura: 22.60ºC | Humedad relativa: 86.80% | Humedad absoluta: 17.44 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:14] --> Temperatura: 22.70ºC | Humedad relativa: 86.30% | Humedad absoluta: 17.44 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:29] --> Temperatura: 22.70ºC | Humedad relativa: 85.80% | Humedad absoluta: 17.34 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
