Inicio de programa
T: [9:00] --> Temperatura: 19.20ºC | Humedad relativa: 49.40% | Humedad absoluta: 8.14 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:15] --> Temperatura: 19.20ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.16 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [9:30] --> Temperatura: 19.20ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.16 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [9:45] --> Temperatura: 19.20ºC | Humedad relativa: 49.40% | Humedad absoluta: 8.14 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Esperando...
T: [10:00] --> Temperatura: 19.20ºC | Humedad relativa: 49.40% | Humedad absoluta: 8.14 g/m3 | Lecturas iguales: 4 | Fallos acumulados: 0 | Esperando...
T: [10:15] --> Temperatura: 19.20ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.16 g/m3 | Lecturas iguales: 5 | Fallos acumulados: 0 | Esperando...
T: [10:30] --> Temperatura: 19.20ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.16 g/m3 | Lecturas iguales: 6 | Fallos acumulados: 0 | Esperando...
T: [10:45] --> Temperatura: 19.20ºC | Humedad relativa: 49.60% | Humedad absoluta: 8.18 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:00] --> Temperatura: 19.20ºC | Humedad relativa: 49.70% | Humedad absoluta: 8.19 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [11:15] --> Temperatura: 19.20ºC | Humedad relativa: 49.70% | Humedad absoluta: 8.19 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [11:30] --> Temperatura: 19.20ºC | Humedad relativa: 49.70% | Humedad absoluta: 8.19 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Esperando...
T: [11:45] --> Temperatura: 19.10ºC | Humedad relativa: 49.80% | Humedad absoluta: 8.16 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:00] --> Temperatura: 19.10ºC | Humedad relativa: 49.80% | Humedad absoluta: 8.16 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [12:15] --> Temperatura: 19.10ºC | Humedad relativa: 49.90% | Humedad absoluta: 8.18 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:30] --> Temperatura: 19.10ºC | Humedad relativa: 49.90% | Humedad absoluta: 8.18 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [12:45] --> Temperatura: 19.10ºC | Humedad relativa: 49.90% | Humedad absoluta: 8.18 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [13:00] --> Temperatura: 19.10ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.11 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:15] --> Temperatura: 19.00ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.06 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:30] --> Temperatura: 19.10ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.11 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:45] --> Temperatura: 19.00ºC | Humedad relativa: 49.60% | Humedad absoluta: 8.08 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:00] --> Temperatura: 19.00ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.06 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:15] --> Temperatura: 19.00ºC | Humedad relativa: 49.60% | Humedad absoluta: 8.08 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [14:30] --> Temperatura: 19.00ºC | Humedad relativa: 49.60% | Humedad absoluta: 8.08 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [14:45] --> Temperatura: 19.00ºC | Humedad relativa: 49.60% | Humedad absoluta: 8.08 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [15:00] --> Temperatura: 19.00ºC | Humedad relativa: 49.60% | Humedad absoluta: 8.08 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Esperando...
T: [15:15] --> Temperatura: 19.00ºC | Humedad relativa: 49.70% | Humedad absoluta: 8.10 g/m3 | Lecturas iguales: 4 | Fallos acumulados: 0 | Evaluando...
Humedad por debajo del mínimo. Apagando...
Fin de programa. Que tenga un buen día :)
